Lambda(micron),Flux(Jy)
5.261200086242752150e+00,1.187201568720152034e-01
5.262000086222542450e+00,1.186926919418708343e-01
5.262800086202332750e+00,1.202803699619090921e-01
5.263600086182123050e+00,1.202218889533608615e-01
5.264400086161913350e+00,1.189478549670413693e-01
5.265200086141703650e+00,1.191974663086361880e-01
5.266000086121493950e+00,1.182723074765377191e-01
5.266800086101284251e+00,1.181123247923876324e-01
5.267600086081074551e+00,1.195058920770724620e-01
5.268400086060864851e+00,1.182821116104499498e-01
5.269200086040655151e+00,1.136283523583025840e-01
5.270000086020445451e+00,1.117233428387903460e-01
5.270800086000235751e+00,1.169888556379274080e-01
5.271600085980026051e+00,1.205220288746065710e-01
5.272400085959816352e+00,1.218880488918145932e-01
5.273200085939606652e+00,1.207802053192223724e-01
5.274000085919396952e+00,1.186249138972444717e-01
5.274800085899187252e+00,1.141597215778666213e-01
5.275600085878977552e+00,1.104310185888145168e-01
5.276400085858767852e+00,1.115627958322383539e-01
5.277200085838558152e+00,1.146849903967055578e-01
5.278000085818348452e+00,1.165042872067964669e-01
5.278800085798138753e+00,1.171801496101215617e-01
5.279600085777929053e+00,1.164201403677309204e-01
5.280400085757719353e+00,1.170880641926982102e-01
5.281200085737509653e+00,1.207506787364870937e-01
5.282000085717299953e+00,1.203112438402073048e-01
5.282800085697090253e+00,1.176279361601953871e-01
5.283600085676880553e+00,1.171258790395800914e-01
5.284400085656670853e+00,1.180774789369337524e-01
5.285200085636461154e+00,1.184676279833609264e-01
5.286000085616251454e+00,1.183374294073519656e-01
5.286800085596041754e+00,1.207606046802172234e-01
5.287600085575832054e+00,1.223026602659613299e-01
5.288400085555622354e+00,1.227726078672042725e-01
5.289200085535412654e+00,1.212561169836920416e-01
5.290000085515202954e+00,1.197446048223428233e-01
5.290800085494993255e+00,1.156851023345168289e-01
5.291600085474783555e+00,1.116022323565124402e-01
5.292400085454573855e+00,1.149136058944878053e-01
5.293200085434364155e+00,1.204361470328695616e-01
5.294000085414154455e+00,1.222997985558878925e-01
5.294800085393944755e+00,1.220854658355939731e-01
5.295600085373735055e+00,1.216580205477265086e-01
5.296400085353525355e+00,1.191400939857596153e-01
5.297200085333315656e+00,1.176106638199501675e-01
5.298000085313105956e+00,1.187619435958648106e-01
5.298800085292896256e+00,1.213732996935533159e-01
5.299600085272686556e+00,1.224593022356902372e-01
5.300400085252476856e+00,1.229849331324756878e-01
5.301200085232267156e+00,1.242520468695116342e-01
5.302000085212057456e+00,1.244183384617491422e-01
5.302800085191847757e+00,1.225535877491801817e-01
5.303600085171638057e+00,1.177579966250664606e-01
5.304400085151428357e+00,1.169391532905386666e-01
5.305200085131218657e+00,1.175401334971362677e-01
5.306000085111008957e+00,1.193552224029788000e-01
5.306800085090799257e+00,1.208255131735648247e-01
5.307600085070589557e+00,1.217793590959223293e-01
5.308400085050379857e+00,1.229635399549937613e-01
5.309200085030170158e+00,1.237644529331562715e-01
5.310000085009960458e+00,1.217226904541384158e-01
5.310800084989750758e+00,1.205954377522877596e-01
5.311600084969541058e+00,1.211469146639082284e-01
5.312400084949331358e+00,1.222088685463296326e-01
5.313200084929121658e+00,1.236006534337532048e-01
5.314000084908911958e+00,1.233137210904814568e-01
5.314800084888702258e+00,1.239334264437574745e-01
5.315600084868492559e+00,1.245845231320989038e-01
5.316400084848282859e+00,1.252953157956862851e-01
5.317200084828073159e+00,1.243381180756724380e-01
5.318000084807863459e+00,1.226844627761920770e-01
5.318800084787653759e+00,1.206626305606441768e-01
5.319600084767444059e+00,1.157566657678276156e-01
5.320400084747234359e+00,1.127325838807544389e-01
5.321200084727024660e+00,1.136504000060988007e-01
5.322000084706814960e+00,1.193865973852659274e-01
5.322800084686605260e+00,1.219484623418405217e-01
5.323600084666395560e+00,1.234694373045439192e-01
5.324400084646185860e+00,1.239815054591114907e-01
5.325200084625976160e+00,1.237515718742459164e-01
5.326000084605766460e+00,1.228635187189002220e-01
5.326800084585556760e+00,1.234711578638017226e-01
5.327600084565347061e+00,1.246084803573313665e-01
5.328400084545137361e+00,1.251678227082349271e-01
5.329200084524927661e+00,1.243104313259193738e-01
5.330000084504717961e+00,1.236388334597434691e-01
5.330800084484508261e+00,1.233449262542741232e-01
5.331600084464298561e+00,1.230294572601465519e-01
5.332400084444088861e+00,1.234315693693400356e-01
5.333200084423879161e+00,1.229427780438078210e-01
5.334000084403669462e+00,1.228795906563219520e-01
5.334800084383459762e+00,1.222772372096108395e-01
5.335600084363250062e+00,1.245055202403288208e-01
5.336400084343040362e+00,1.279364369697023052e-01
5.337200084322830662e+00,1.376209810857574600e-01
5.338000084302620962e+00,1.519746417878508060e-01
5.338800084282411262e+00,1.553026408915286760e-01
5.339600084262201563e+00,1.411535090284338212e-01
5.340400084241991863e+00,1.281594321341365528e-01
5.341200084221782163e+00,1.255905778381153637e-01
5.342000084201572463e+00,1.255446947389219636e-01
5.342800084181362763e+00,1.261261399644517667e-01
5.343600084161153063e+00,1.238313421960440253e-01
5.344400084140943363e+00,1.195437109958100708e-01
5.345200084120733663e+00,1.203117109838928028e-01
5.346000084100523964e+00,1.229522404721787587e-01
5.346800084080314264e+00,1.235642261789559188e-01
5.347600084060104564e+00,1.220135106347540188e-01
5.348400084039894864e+00,1.167773307677718725e-01
5.349200084019685164e+00,1.156633195241727197e-01
5.350000083999475464e+00,1.176726471979857302e-01
5.350800083979265764e+00,1.191737435966169628e-01
5.351600083959056064e+00,1.227701325029355722e-01
5.352400083938846365e+00,1.226332155580284744e-01
5.353200083918636665e+00,1.194441750278782827e-01
5.354000083898426965e+00,1.219603062712813213e-01
5.354800083878217265e+00,1.246586023141827426e-01
5.355600083858007565e+00,1.258831910607691174e-01
5.356400083837797865e+00,1.262823719897535890e-01
5.357200083817588165e+00,1.230721306862024439e-01
5.358000083797378466e+00,1.235458751493412749e-01
5.358800083777168766e+00,1.260945136794649202e-01
5.359600083756959066e+00,1.264642549942177618e-01
5.360400083736749366e+00,1.257263547544473781e-01
5.361200083716539666e+00,1.255721959441145064e-01
5.362000083696329966e+00,1.250970073815203532e-01
5.362800083676120266e+00,1.238658938143716859e-01
5.363600083655910566e+00,1.190842330871284549e-01
