2016-07-18T06:29:38	2457587.775674	12.352	0.016
2016-07-22T10:03:34	2457591.924114	12.374	0.015
2016-07-22T10:07:27	2457591.926810	12.386	0.016
2016-07-26T07:58:07	2457595.836856	12.385	0.017
2016-07-26T08:01:23	2457595.839125	12.377	0.018
2016-07-28T11:02:30	2457597.964815	12.299	0.025
2016-07-28T11:05:43	2457597.967049	12.341	0.018
2016-07-29T08:49:35	2457598.872474	12.376	0.017
2016-07-29T08:52:52	2457598.874754	12.380	0.016
2016-07-31T06:53:36	2457600.791846	12.370	0.017
2016-07-31T06:56:53	2457600.794126	12.384	0.016
2016-08-01T07:05:17	2457601.799913	12.382	0.018
2016-08-01T07:08:32	2457601.802170	12.384	0.016    # until here, (before 2019.09) offset 0.78 mag is applied 
2016-10-10T06:27:55	2457671.768580	10.677	0.015
2016-10-10T06:31:12	2457671.770860	10.682	0.014
2016-10-12T06:36:54	2457673.774640	10.617	0.014
2016-10-12T06:40:11	2457673.776920	10.619	0.013
2017-05-23T10:38:18	2457896.947567	10.989	0.020
2017-05-23T10:41:34	2457896.949836	11.002	0.018
2017-06-09T09:15:56	2457913.891085	11.065	0.016
2017-06-09T09:19:11	2457913.893342	11.060	0.017
2017-06-11T11:21:04	2457915.978045	11.079	0.018
2017-06-11T11:24:21	2457915.980325	11.080	0.017
2017-06-19T07:57:31	2457923.836864	11.099	0.017
2017-06-19T08:00:48	2457923.839145	11.100	0.020
2017-06-27T07:55:07	2457931.835281	11.130	0.018
2017-06-27T07:58:29	2457931.837619	11.133	0.017
2017-07-05T06:58:18	2457939.795812	11.169	0.017
2017-07-05T07:01:33	2457939.798069	11.169	0.015
2017-07-07T06:38:15	2457941.781870	11.169	0.019
2017-07-07T06:41:31	2457941.784138	11.154	0.015
2017-07-09T07:27:44	2457943.816209	11.193	0.017
2017-07-09T07:31:01	2457943.818489	11.203	0.015
2017-07-10T07:06:23	2457944.801368	11.196	0.014
2017-07-10T07:09:41	2457944.803660	11.204	0.015
2017-07-13T06:21:26	2457947.770102	11.211	0.018
2017-07-13T06:24:42	2457947.772370	11.221	0.016
2017-07-28T08:36:08	2457962.863186	11.295	0.016
2017-07-28T08:39:25	2457962.865466	11.298	0.014
2017-07-29T09:40:42	2457963.907981	11.302	0.017
2017-07-29T09:43:57	2457963.910238	11.306	0.014
2017-08-08T06:36:25	2457973.779527	11.341	0.020
2017-08-08T06:39:40	2457973.781783	11.350	0.016
2017-09-03T08:56:56	2457999.875320	11.403	0.019
2017-09-03T09:00:12	2457999.877588	11.406	0.017
2017-09-08T06:03:28	2458004.754458	11.421	0.018
2017-09-08T06:04:31	2458004.755187	11.421	0.018
2017-09-16T07:27:57	2458012.812439	11.401	0.026
2017-09-16T07:29:00	2458012.813168	11.416	0.028
2017-09-17T06:45:24	2458013.782805	11.450	0.016
