-dhs 0.80
-a 1.0 5.0
0.87 c 0.13
       lam   pyroxene    olivine  enstatite forsterite     silica     quartz
   1.00000 1795.45200 1912.97100 2055.15200 2193.22967 2272.85800 2360.54267
   1.00016 1795.46200 1912.96100 2055.13700 2193.21100 2272.82400 2360.51367
   1.00032 1795.47100 1912.95100 2055.12100 2193.19233 2272.78900 2360.48467
   1.00048 1795.48100 1912.94100 2055.10600 2193.17367 2272.75400 2360.45567
   1.00064 1795.49000 1912.93100 2055.09000 2193.15500 2272.71900 2360.42667
   1.00080 1795.50000 1912.92100 2055.07500 2193.13600 2272.68400 2360.39733
   1.00096 1795.51000 1912.91100 2055.05900 2193.11700 2272.64900 2360.36767
   1.00112 1795.52000 1912.90100 2055.04300 2193.09800 2272.61400 2360.33867
   1.00128 1795.52900 1912.89100 2055.02800 2193.07900 2272.57800 2360.30967
   1.00144 1795.53900 1912.88100 2055.01200 2193.05967 2272.54300 2360.28067
   1.00160 1795.54900 1912.87100 2054.99600 2193.04067 2272.50800 2360.25167
   1.00176 1795.55900 1912.86067 2054.98000 2193.02100 2272.47200 2360.22167
   1.00192 1795.56800 1912.85067 2054.96500 2193.00167 2272.43600 2360.19267
   1.00208 1795.57800 1912.84000 2054.94900 2192.98200 2272.40100 2360.16367
   1.00224 1795.58800 1912.83000 2054.93300 2192.96233 2272.36500 2360.13400
   1.00240 1795.59800 1912.81967 2054.91700 2192.94233 2272.32900 2360.10467
   1.00256 1795.60800 1912.80967 2054.90100 2192.92267 2272.29300 2360.07567
   1.00272 1795.61800 1912.79900 2054.88400 2192.90267 2272.25700 2360.04600
   1.00288 1795.62700 1912.78867 2054.86800 2192.88267 2272.22100 2360.01700
   1.00304 1795.63700 1912.77800 2054.85200 2192.86200 2272.18400 2359.98767
   1.00320 1795.64700 1912.76767 2054.83500 2192.84200 2272.14800 2359.95800
   1.00336 1795.65700 1912.75700 2054.81900 2192.82133 2272.11100 2359.92867
   1.00352 1795.66700 1912.74633 2054.80200 2192.80100 2272.07500 2359.89900
   1.00368 1795.67700 1912.73567 2054.78600 2192.78067 2272.03800 2359.87000
   1.00384 1795.68700 1912.72533 2054.76900 2192.75967 2272.00200 2359.84000
   1.00400 1795.69700 1912.71433 2054.75200 2192.73867 2271.96500 2359.81100
   1.00416 1795.70700 1912.70333 2054.73500 2192.71800 2271.92800 2359.78100
   1.00432 1795.71700 1912.69233 2054.71900 2192.69700 2271.89100 2359.75200
   1.00448 1795.72600 1912.68133 2054.70200 2192.67600 2271.85400 2359.72200
