-dhs 0.80
-a 0.1 2.0
0.87 c 0.13
       lam   pyroxene    olivine  enstatite forsterite     silica     quartz
   1.02571 6756.00600 6180.17700 6406.56600 6539.39633 6196.23900 6152.73667
   1.02588 6755.49000 6179.50333 6405.83300 6538.64600 6195.44400 6151.99100
   1.02604 6754.97500 6178.83000 6405.10000 6537.89500 6194.64800 6151.24533
   1.02621 6754.45900 6178.15667 6404.36800 6537.14433 6193.85200 6150.49933
   1.02637 6753.94400 6177.48300 6403.63500 6536.39333 6193.05700 6149.75367
   1.02653 6753.42800 6176.80967 6402.90200 6535.64267 6192.26100 6149.00800
   1.02670 6752.91300 6176.13633 6402.17000 6534.89200 6191.46600 6148.26200
   1.02686 6752.39700 6175.46300 6401.43700 6534.14200 6190.67100 6147.51633
   1.02702 6751.88100 6174.78900 6400.70500 6533.39100 6189.87500 6146.77067
   1.02719 6751.36600 6174.11567 6399.97300 6532.64033 6189.08000 6146.02567
   1.02735 6750.85000 6173.44233 6399.24000 6531.89000 6188.28500 6145.27967
   1.02752 6750.33400 6172.76867 6398.50800 6531.13967 6187.49000 6144.53400
   1.02768 6749.81900 6172.09533 6397.77500 6530.38933 6186.69500 6143.78833
   1.02784 6749.30300 6171.42200 6397.04300 6529.63867 6185.90000 6143.04267
   1.02801 6748.78800 6170.74967 6396.31100 6528.88967 6185.10600 6142.29767
   1.02817 6748.28200 6170.09000 6395.59400 6528.15400 6184.32700 6141.56633
   1.02834 6747.77600 6169.42967 6394.87600 6527.41833 6183.54900 6140.83467
   1.02850 6747.26900 6168.77000 6394.15800 6526.68300 6182.77000 6140.10300
   1.02867 6746.76300 6168.11033 6393.44100 6525.94733 6181.99200 6139.37167
   1.02883 6746.25700 6167.45033 6392.72300 6525.21233 6181.21300 6138.64000
   1.02899 6745.75100 6166.79067 6392.00600 6524.47700 6180.43500 6137.90833
   1.02916 6745.24500 6166.13100 6391.28800 6523.74200 6179.65700 6137.17700
   1.02932 6744.73800 6165.47100 6390.57100 6523.00667 6178.87900 6136.44533
   1.02949 6744.23200 6164.81133 6389.85300 6522.27167 6178.10100 6135.71367
   1.02965 6743.72600 6164.15167 6389.13600 6521.53633 6177.32200 6134.98233
   1.02982 6743.21900 6163.49233 6388.41800 6520.80133 6176.54400 6134.25067
   1.02998 6742.71300 6162.83200 6387.70100 6520.06600 6175.76600 6133.51933
   1.03015 6742.20700 6162.17233 6386.98300 6519.33133 6174.98900 6132.78833
   1.03031 6741.70000 6161.51300 6386.26600 6518.59633 6174.21100 6132.05667
   1.03047 6741.19400 6160.85300 6385.54900 6517.86167 6173.43300 6131.32533
   1.03064 6740.68800 6160.19333 6384.83200 6517.12667 6172.65500 6130.59367
   1.03080 6740.18100 6159.53367 6384.11400 6516.39167 6171.87700 6129.86233
   1.03097 6739.67500 6158.87433 6383.39700 6515.65700 6171.10000 6129.13067
   1.03113 6739.16800 6158.21433 6382.68000 6514.92200 6170.32200 6128.39933
   1.03130 6738.66200 6157.55500 6381.96300 6514.18733 6169.54400 6127.66767
   1.03146 6738.15500 6156.89567 6381.24600 6513.45267 6168.76700 6126.93700
   1.03163 6737.64900 6156.23600 6380.52800 6512.71767 6167.98900 6126.20533
   1.03179 6737.14200 6155.57633 6379.81100 6511.98333 6167.21200 6125.47400
   1.03196 6736.63500 6154.91633 6379.09400 6511.24900 6166.43500 6124.74233
   1.03212 6736.12900 6154.25700 6378.37700 6510.51433 6165.65700 6124.01100
   1.03228 6735.62200 6153.59767 6377.66000 6509.77967 6164.88000 6123.27933
   1.03245 6735.11500 6152.93800 6376.94300 6509.04500 6164.10300 6122.54867
   1.03262 6734.60900 6152.27867 6376.22600 6508.31100 6163.32600 6121.81700
   1.03278 6734.10200 6151.61933 6375.50900 6507.57633 6162.54800 6121.08567
   1.03295 6733.57200 6150.92867 6374.75900 6506.80867 6161.73500 6120.32267
   1.03311 6733.04000 6150.23433 6374.00500 6506.03600 6160.91600 6119.55633
   1.03327 6732.50700 6149.53900 6373.25000 6505.26367 6160.09800 6118.78933
   1.03344 6731.97400 6148.84467 6372.49600 6504.49167 6159.28000 6118.02233
   1.03361 6731.44100 6148.15000 6371.74100 6503.71933 6158.46100 6117.25533
   1.03377 6730.90800 6147.45567 6370.98600 6502.94700 6157.64300 6116.48833
   1.03394 6730.37500 6146.76067 6370.23200 6502.17500 6156.82500 6115.72200
   1.03410 6729.84300 6146.06600 6369.47800 6501.40267 6156.00700 6114.95500
   1.03426 6729.31000 6145.37167 6368.72300 6500.63067 6155.18800 6114.18800
   1.03443 6728.77700 6144.67700 6367.96900 6499.85867 6154.37000 6113.42100
   1.03460 6728.24400 6143.98267 6367.21400 6499.08667 6153.55200 6112.65500
   1.03476 6727.71100 6143.28833 6366.46000 6498.31467 6152.73400 6111.88800
   1.03493 6727.17800 6142.59333 6365.70600 6497.54267 6151.91600 6111.12100
   1.03509 6726.64500 6141.89900 6364.95200 6496.77067 6151.09900 6110.35467
   1.03526 6726.11200 6141.20467 6364.19700 6495.99867 6150.28100 6109.58767
   1.03542 6725.57800 6140.51000 6363.44300 6495.22700 6149.46300 6108.82067
   1.03559 6725.04500 6139.81567 6362.68900 6494.45533 6148.64500 6108.05467
   1.03575 6724.51200 6139.12133 6361.93500 6493.68367 6147.82800 6107.28767
   1.03592 6723.97900 6138.42667 6361.18100 6492.91200 6147.01000 6106.52067
   1.03608 6723.44600 6137.73233 6360.42700 6492.14033 6146.19300 6105.75433
   1.03625 6722.91300 6137.03800 6359.67300 6491.36867 6145.37500 6104.98767
   1.03641 6722.37900 6136.34367 6358.91900 6490.59733 6144.55800 6104.22067
   1.03658 6721.84600 6135.64967 6358.16500 6489.82567 6143.74000 6103.45433
   1.03675 6721.31300 6134.95533 6357.41100 6489.05400 6142.92300 6102.68733
   1.03691 6720.78000 6134.26067 6356.65700 6488.28233 6142.10600 6101.92133
   1.03708 6720.24600 6133.56633 6355.90300 6487.51100 6141.28800 6101.15433
   1.03724 6719.71300 6132.87200 6355.14900 6486.74000 6140.47100 6100.38800
   1.03741 6719.17900 6132.17767 6354.39600 6485.96867 6139.65400 6099.62133
   1.03757 6718.64400 6131.48200 6353.64000 6485.19567 6138.83600 6098.85400
   1.03774 6718.10600 6130.78333 6352.88200 6484.42033 6138.01600 6098.08500
   1.03791 6717.56900 6130.08467 6352.12400 6483.64567 6137.19600 6097.31600
   1.03807 6717.03100 6129.38600 6351.36600 6482.87100 6136.37600 6096.54700
   1.03824 6716.49300 6128.68767 6350.60900 6482.09600 6135.55600 6095.77800
   1.03840 6715.95500 6127.98933 6349.85100 6481.32100 6134.73600 6095.00900
   1.03857 6715.41700 6127.29067 6349.09300 6480.54667 6133.91600 6094.24000
   1.03873 6714.87900 6126.59233 6348.33600 6479.77200 6133.09600 6093.47100
   1.03890 6714.34100 6125.89400 6347.57800 6478.99733 6132.27600 6092.70267
   1.03907 6713.80300 6125.19600 6346.82000 6478.22267 6131.45700 6091.93367
   1.03923 6713.26500 6124.49767 6346.06300 6477.44800 6130.63700 6091.16467
   1.03940 6712.72700 6123.79933 6345.30500 6476.67367 6129.81800 6090.39600
   1.03956 6712.18900 6123.10067 6344.54800 6475.89933 6128.99800 6089.62700
   1.03973 6711.65100 6122.40233 6343.79000 6475.12533 6128.17900 6088.85867
   1.03990 6711.11300 6121.70400 6343.03300 6474.35067 6127.35900 6088.08967
   1.04006 6710.57500 6121.00600 6342.27600 6473.57633 6126.54000 6087.32067
   1.04023 6710.03700 6120.30767 6341.51800 6472.80200 6125.72100 6086.55167
   1.04039 6709.49800 6119.60933 6340.76100 6472.02800 6124.90100 6085.78367
   1.04056 6708.96000 6118.91133 6340.00400 6471.25367 6124.08200 6085.01467
   1.04073 6708.42200 6118.21333 6339.24700 6470.47967 6123.26300 6084.24567
   1.04089 6707.88400 6117.51500 6338.49000 6469.70567 6122.44400 6083.47733
   1.04106 6707.34600 6116.81667 6337.73200 6468.93167 6121.62500 6082.70867
   1.04123 6706.80700 6116.11933 6336.97500 6468.15733 6120.80600 6081.93967
   1.04139 6706.26900 6115.42100 6336.21800 6467.38333 6119.98700 6081.17133
   1.04156 6705.73100 6114.72300 6335.46100 6466.60967 6119.16800 6080.40267
   1.04172 6705.19200 6114.02500 6334.70500 6465.83600 6118.35000 6079.63433
   1.04189 6704.65400 6113.32700 6333.94800 6465.06200 6117.53100 6078.86567
   1.04206 6704.11500 6112.62900 6333.19100 6464.28833 6116.71200 6078.09733
   1.04222 6703.57700 6111.93133 6332.43400 6463.51467 6115.89400 6077.32833
   1.04239 6703.05000 6111.24800 6331.69200 6462.75600 6115.09100 6076.57333
   1.04256 6702.53200 6110.57667 6330.96400 6462.01033 6114.30100 6075.82967
   1.04272 6702.01500 6109.90567 6330.23500 6461.26433 6113.51200 6075.08600
   1.04289 6701.49700 6109.23467 6329.50700 6460.51867 6112.72300 6074.34233
   1.04306 6700.98000 6108.56333 6328.77800 6459.77267 6111.93400 6073.59867
   1.04322 6700.46200 6107.89233 6328.05000 6459.02700 6111.14400 6072.85500
   1.04339 6699.94500 6107.22167 6327.32100 6458.28133 6110.35500 6072.11100
   1.04356 6699.42700 6106.55067 6326.59300 6457.53600 6109.56600 6071.36733
   1.04372 6698.90900 6105.88000 6325.86500 6456.79033 6108.77700 6070.62367
   1.04389 6698.39200 6105.20900 6325.13600 6456.04467 6107.98800 6069.88000
   1.04405 6697.87400 6104.53833 6324.40800 6455.29933 6107.20000 6069.13700
   1.04422 6697.35600 6103.86700 6323.68000 6454.55400 6106.41100 6068.39333
   1.04439 6696.83900 6103.19667 6322.95200 6453.80867 6105.62200 6067.64967
   1.04455 6696.32100 6102.52567 6322.22400 6453.06333 6104.83300 6066.90600
   1.04472 6695.80300 6101.85533 6321.49600 6452.31800 6104.04500 6066.16233
   1.04489 6695.28600 6101.18433 6320.76700 6451.57333 6103.25600 6065.41933
   1.04506 6694.76800 6100.51367 6320.04000 6450.82767 6102.46700 6064.67567
   1.04522 6694.25000 6099.84300 6319.31200 6450.08267 6101.67900 6063.93200
   1.04539 6693.73200 6099.17267 6318.58400 6449.33767 6100.89100 6063.18833
   1.04556 6693.21400 6098.50233 6317.85600 6448.59300 6100.10200 6062.44533
   1.04572 6692.69600 6097.83167 6317.12800 6447.84800 6099.31400 6061.70167
   1.04589 6692.17800 6097.16100 6316.40000 6447.10267 6098.52600 6060.95800
   1.04606 6691.66000 6096.49067 6315.67300 6446.35800 6097.73700 6060.21533
   1.04622 6691.14200 6095.82000 6314.94500 6445.61300 6096.94900 6059.47167
   1.04639 6690.62500 6095.14967 6314.21800 6444.86833 6096.16100 6058.72800
   1.04656 6690.10700 6094.47933 6313.49000 6444.12400 6095.37300 6057.98500
   1.04673 6689.58900 6093.80900 6312.76300 6443.37933 6094.58500 6057.24133
   1.04689 6689.07000 6093.13867 6312.03500 6442.63467 6093.79700 6056.49833
   1.04706 6688.55200 6092.46833 6311.30800 6441.89000 6093.00900 6055.75500
   1.04723 6688.04500 6091.81233 6310.59500 6441.16000 6092.23600 6055.02433
   1.04739 6687.54200 6091.16033 6309.88700 6440.43433 6091.46800 6054.29767
   1.04756 6687.03800 6090.50833 6309.17900 6439.70900 6090.70000 6053.57133
   1.04773 6686.53500 6089.85667 6308.47100 6438.98333 6089.93200 6052.84467
   1.04790 6686.03100 6089.20500 6307.76300 6438.25800 6089.16400 6052.11800
   1.04806 6685.52700 6088.55333 6307.05500 6437.53233 6088.39600 6051.39167
   1.04823 6685.02400 6087.90133 6306.34700 6436.80733 6087.62800 6050.66500
   1.04840 6684.52000 6087.25000 6305.63900 6436.08167 6086.86100 6049.93833
   1.04857 6684.01600 6086.59800 6304.93100 6435.35633 6086.09300 6049.21200
   1.04873 6683.51300 6085.94667 6304.22300 6434.63133 6085.32500 6048.48533
   1.04890 6683.00900 6085.29500 6303.51600 6433.90633 6084.55700 6047.75900
   1.04907 6682.50500 6084.64367 6302.80800 6433.18133 6083.79000 6047.03233
   1.04924 6682.00200 6083.99233 6302.10100 6432.45633 6083.02200 6046.30567
   1.04940 6681.49800 6083.34067 6301.39300 6431.73100 6082.25500 6045.57933
   1.04957 6680.99400 6082.68933 6300.68600 6431.00600 6081.48700 6044.85333
   1.04974 6680.49000 6082.03800 6299.97800 6430.28167 6080.72000 6044.12700
   1.04991 6679.98600 6081.38667 6299.27100 6429.55667 6079.95300 6043.40033
   1.05007 6679.48300 6080.73533 6298.56300 6428.83167 6079.18500 6042.67400
   1.05024 6678.97900 6080.08400 6297.85600 6428.10700 6078.41800 6041.94733
   1.05041 6678.47500 6079.43300 6297.14900 6427.38233 6077.65100 6041.22100
   1.05058 6677.97100 6078.78167 6296.44200 6426.65767 6076.88400 6040.49500
   1.05075 6677.46700 6078.13033 6295.73500 6425.93333 6076.11700 6039.76867
   1.05091 6676.96300 6077.47967 6295.02800 6425.20867 6075.35000 6039.04233
   1.05108 6676.45900 6076.82833 6294.32100 6424.48433 6074.58300 6038.31567
   1.05125 6675.95500 6076.17733 6293.61400 6423.75967 6073.81600 6037.58933
   1.05142 6675.45200 6075.52667 6292.90700 6423.03567 6073.04900 6036.86333
   1.05158 6674.94800 6074.87567 6292.20000 6422.31133 6072.28200 6036.13700
   1.05175 6674.44400 6074.22467 6291.49300 6421.58700 6071.51500 6035.41067
   1.05192 6673.94000 6073.57400 6290.78700 6420.86267 6070.74900 6034.68467
   1.05209 6673.41200 6072.89267 6290.04800 6420.10667 6069.94800 6033.92967
   1.05226 6672.86300 6072.18400 6289.28000 6419.32200 6069.11700 6033.14800
   1.05242 6672.31400 6071.47467 6288.51200 6418.53633 6068.28600 6032.36667
   1.05259 6671.76400 6070.76533 6287.74400 6417.75167 6067.45400 6031.58533
   1.05276 6671.21500 6070.05633 6286.97600 6416.96667 6066.62300 6030.80433
   1.05293 6670.66600 6069.34800 6286.20800 6416.18133 6065.79200 6030.02300
   1.05310 6670.11700 6068.63867 6285.44000 6415.39667 6064.96100 6029.24167
   1.05326 6669.56700 6067.93000 6284.67200 6414.61200 6064.13000 6028.46067
   1.05343 6669.01800 6067.22133 6283.90400 6413.82733 6063.30000 6027.67933
   1.05360 6668.46900 6066.51233 6283.13700 6413.04267 6062.46900 6026.89833
   1.05377 6667.91900 6065.80400 6282.36900 6412.25833 6061.63800 6026.11700
