-dhs 0.99
-a 0.1 2.0
0.87 c 0.13
       lam   pyroxene    olivine  enstatite forsterite     silica     quartz
   1.00000 7462.28000 6725.19533 6946.66900 7064.28467 6649.64200 6590.43167
   1.00016 7461.64800 6724.38633 6945.79500 7063.38800 6648.69400 6589.54867
   1.00032 7461.01600 6723.57733 6944.92100 7062.49167 6647.74700 6588.66533
   1.00048 7460.38400 6722.76900 6944.04600 7061.59533 6646.80100 6587.78233
   1.00064 7459.75200 6721.96033 6943.17300 7060.69933 6645.85400 6586.89933
   1.00080 7459.12000 6721.15200 6942.29900 7059.80333 6644.90800 6586.01700
   1.00096 7458.48800 6720.34367 6941.42500 7058.90733 6643.96200 6585.13400
   1.00112 7457.85700 6719.53533 6940.55200 7058.01167 6643.01600 6584.25167
   1.00128 7457.22500 6718.72767 6939.67800 7057.11600 6642.07000 6583.36967
   1.00144 7456.59300 6717.91967 6938.80500 7056.22100 6641.12500 6582.48733
   1.00160 7455.96200 6717.11133 6937.93200 7055.32600 6640.17900 6581.60533
   1.00176 7455.33000 6716.30367 6937.05900 7054.43067 6639.23400 6580.72300
   1.00192 7454.69900 6715.49633 6936.18600 7053.53633 6638.28900 6579.84167
   1.00208 7454.06700 6714.68833 6935.31400 7052.64167 6637.34500 6578.95967
   1.00224 7453.43600 6713.88133 6934.44100 7051.74733 6636.40000 6578.07867
   1.00240 7452.80500 6713.07400 6933.56900 7050.85300 6635.45600 6577.19733
   1.00256 7452.17400 6712.26733 6932.69700 7049.95900 6634.51200 6576.31600
   1.00272 7451.54200 6711.46000 6931.82500 7049.06500 6633.56800 6575.43500
   1.00288 7450.91100 6710.65333 6930.95300 7048.17133 6632.62500 6574.55367
   1.00304 7450.28100 6709.84667 6930.08100 7047.27767 6631.68100 6573.67267
   1.00320 7449.65000 6709.04033 6929.21000 7046.38433 6630.73800 6572.79167
   1.00336 7449.01900 6708.23433 6928.33800 7045.49167 6629.79500 6571.91133
   1.00352 7448.38800 6707.42767 6927.46700 7044.59867 6628.85200 6571.03100
   1.00368 7447.75800 6706.62200 6926.59600 7043.70567 6627.91000 6570.15033
   1.00384 7447.12700 6705.81600 6925.72600 7042.81333 6626.96800 6569.27000
   1.00400 7446.49700 6705.01000 6924.85500 7041.92100 6626.02500 6568.38967
   1.00416 7445.86700 6704.20467 6923.98500 7041.02900 6625.08400 6567.50967
   1.00432 7445.23700 6703.39967 6923.11400 7040.13667 6624.14200 6566.62933
   1.00448 7444.60700 6702.59400 6922.24400 7039.24500 6623.20000 6565.74933
   1.00464 7443.98400 6701.79833 6921.38400 7038.36267 6622.26900 6564.87833
   1.00480 7443.38300 6701.02900 6920.55200 7037.50867 6621.36700 6564.03133
   1.00496 7442.78200 6700.26000 6919.72000 7036.65400 6620.46400 6563.18467
   1.00512 7442.18100 6699.49100 6918.88800 7035.80033 6619.56200 6562.33767
   1.00528 7441.58100 6698.72200 6918.05700 7034.94600 6618.66000 6561.49100
   1.00544 7440.98000 6697.95367 6917.22500 7034.09233 6617.75800 6560.64433
   1.00560 7440.38000 6697.18567 6916.39400 7033.23867 6616.85700 6559.79767
   1.00577 7439.78000 6696.41733 6915.56300 7032.38567 6615.95600 6558.95167
   1.00592 7439.17900 6695.64933 6914.73200 7031.53233 6615.05400 6558.10500
   1.00609 7438.58000 6694.88167 6913.90100 7030.67900 6614.15300 6557.25900
   1.00625 7437.98000 6694.11433 6913.07100 7029.82633 6613.25300 6556.41233
   1.00641 7437.38000 6693.34633 6912.24100 7028.97400 6612.35200 6555.56633
   1.00657 7436.78100 6692.57967 6911.41100 7028.12167 6611.45200 6554.72067
   1.00673 7436.18100 6691.81233 6910.58100 7027.26900 6610.55100 6553.87400
   1.00689 7435.58200 6691.04567 6909.75100 7026.41733 6609.65100 6553.02800
   1.00705 7434.98400 6690.27900 6908.92200 7025.56533 6608.75100 6552.18233
   1.00721 7434.38500 6689.51267 6908.09300 7024.71367 6607.85100 6551.33633
   1.00737 7433.78600 6688.74667 6907.26400 7023.86233 6606.95200 6550.49067
   1.00753 7433.18800 6687.98067 6906.43500 7023.01100 6606.05200 6549.64467
   1.00769 7432.59000 6687.21433 6905.60700 7022.15967 6605.15300 6548.79833
